,Minirals,Prob
0,Quartz,0.7112329006195068
1,Quartz,0.2820807099342346
2,Quartz,0.7566347718238831
3,Quartz,0.6993966102600098
4,Chlorite,0.39845576882362366
5,Quartz,0.6579949855804443
6,Quartz,0.7575703859329224
7,Quartz,0.7589589953422546
8,Quartz,0.6130326986312866
9,Quartz,0.7636846899986267
10,Tourmaline,0.28906720876693726
11,Tourmaline,0.4650591313838959
12,Chlorite,0.33448368310928345
13,Chlorite,0.3443674147129059
14,Tourmaline,0.4758837819099426
15,Chlorite,0.4372880160808563
16,Quartz,0.5397084355354309
17,Muscovite,0.578581690788269
18,Biotite,0.6998488903045654
19,Chlorite,0.49072596430778503
20,Muscovite,0.44524863362312317
21,Muscovite,0.38025012612342834
22,Muscovite,0.43527114391326904
23,Muscovite,0.5151320695877075
24,Chlorite,0.4163239300251007
25,Muscovite,0.4153326451778412
26,Muscovite,0.706168532371521
27,Chlorite,0.35016685724258423
28,Muscovite,0.38176271319389343
29,Muscovite,0.6599183082580566
30,Chlorite,0.4080020487308502
31,Chlorite,0.4956547021865845
32,Chlorite,0.42547816038131714
33,Chlorite,0.4579050838947296
34,Biotite,0.6063467264175415
35,Biotite,0.8032521605491638
36,Chlorite,0.3595946729183197
37,Chlorite,0.6834809184074402
38,Chlorite,0.5170019268989563
39,Tourmaline,0.35821548104286194
40,Muscovite,0.3552505671977997
41,Chlorite,0.6842865943908691
42,Chlorite,0.39047718048095703
43,Tourmaline,0.32605987787246704
44,Muscovite,0.4778846800327301
45,Chlorite,0.3474138379096985
46,Biotite,0.47805604338645935
47,Muscovite,0.5524569749832153
48,Chlorite,0.44878867268562317
49,Chlorite,0.4747293293476105
50,Muscovite,0.5304604172706604
51,Muscovite,0.4196147918701172
52,Chlorite,0.39972588419914246
53,Muscovite,0.4173138737678528
54,Muscovite,0.6006355285644531
55,Muscovite,0.8250417709350586
56,Muscovite,0.4674861431121826
57,Muscovite,0.3929510712623596
58,Chlorite,0.38664719462394714
59,Muscovite,0.39451727271080017
60,Biotite,0.6341835260391235
61,Chlorite,0.47049960494041443
62,Biotite,0.4619034230709076
63,Muscovite,0.3595949709415436
64,Chlorite,0.33032867312431335
65,Biotite,0.7205392718315125
66,Biotite,0.8712165355682373
67,Biotite,0.9198744297027588
68,Biotite,0.46132978796958923
69,Biotite,0.41705918312072754
70,Muscovite,0.4115943908691406
71,Muscovite,0.4588300883769989
72,Muscovite,0.49659907817840576
73,Chlorite,0.4363500475883484
74,Muscovite,0.4402179718017578
75,Muscovite,0.5546566247940063
76,Muscovite,0.40356066823005676
77,Muscovite,0.6326556205749512
78,Muscovite,0.3033561408519745
79,Chlorite,0.4733757972717285
80,Tourmaline,0.4590543210506439
81,Chlorite,0.5108069777488708
